recording,utterance,relative_json,audio_present,duration_seconds,word_count,wpm,span_wpm,articulation_wpm,aligned_word_seconds,aligned_word_occupancy,pause_seconds,pause_0_30_count,pause_0_75_count,pause_1_40_count,max_pause_seconds,mean_word_logprob,low_confidence_word_count,language_code,language_probability,text_character_count,question_mark_count,comma_count,period_count,wpm_tier,wpm_outlier
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0001,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0001.json,True,27.6,49,106.52173913043478,107.76731058245664,198.3002832861189,14.826000000000004,0.5371739130434784,12.454999999999997,8,7,3,2.021000000000001,-0.1547956481564123,0,som,1.0,337,0,0,4,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0002,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0002.json,True,28.5,43,90.52631578947368,91.1660777385159,191.46567717996282,13.475000000000005,0.47280701754385984,14.824999999999996,8,8,3,3.8999999999999986,-0.1354823089079222,1,som,1.0,302,0,8,2,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0003,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0003.json,True,29.9,62,124.41471571906354,125.7649007741979,232.2677322677322,16.016000000000005,0.5356521739130436,13.562999999999997,8,6,4,2.4810000000000016,-0.10147623775887112,0,som,1.0,397,0,0,2,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0004,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0004.json,True,29.9,64,128.42809364548495,129.55465587044534,223.03537201603066,17.217,0.575819397993311,12.423000000000004,8,5,2,2.0600000000000005,-0.188150621627783,0,som,1.0,414,0,3,5,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0005,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0005.json,True,25.9,48,111.1969111969112,112.32449297971918,207.7772166510354,13.860999999999992,0.5351737451737448,11.77900000000001,5,4,2,4.318999999999999,-0.19928163088656223,2,som,1.0,316,0,2,6,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0006,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0006.json,True,29.2,68,139.72602739726028,140.78674948240166,249.80101634727237,16.333000000000002,0.5593493150684933,12.646999999999998,9,6,2,2.3389999999999986,-0.1397341411264637,0,som,1.0,394,0,4,3,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0007,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0007.json,True,26.8,65,145.52238805970148,146.50088276172946,290.09223445403165,13.443999999999994,0.5016417910447759,13.177000000000005,9,6,3,2.3000000000000007,-0.18930663247769824,2,som,1.0,367,0,1,3,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0008,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0008.json,True,27.3,51,112.08791208791209,112.99852289512556,235.78363384188648,12.977999999999989,0.47538461538461496,14.10200000000001,8,7,4,2.46,-0.2235233430171925,1,som,1.0,308,0,1,5,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0009,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0009.json,True,28.6,50,104.8951048951049,105.63380281690141,212.1640735502121,14.140000000000004,0.4944055944055945,14.259999999999996,9,8,3,2.3790000000000013,-0.3162052951043298,1,som,1.0,349,0,2,6,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0010,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0010.json,True,29.7,49,98.98989898989899,99.72862957937583,202.17301609132184,14.54199999999999,0.4896296296296293,14.938000000000013,11,8,3,2.8810000000000002,-0.20521417517281723,0,som,1.0,369,0,6,3,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0011,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0011.json,True,27.1,71,157.19557195571957,158.83668903803132,254.69329188090413,16.725999999999992,0.6171955719557193,10.09400000000001,10,4,1,1.7190000000000003,-0.21952575693154477,2,som,1.0,456,0,7,4,High,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0012,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0012.json,True,29.9,73,146.48829431438128,147.87305874409182,238.14702044367112,18.392000000000003,0.6151170568561874,11.228,6,5,3,2.26,-0.15287833162581138,1,som,1.0,483,0,3,3,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0013,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0013.json,True,26.6,66,148.8721804511278,150.34168564920273,236.02336392895444,16.77800000000001,0.6307518796992484,9.56199999999999,5,4,1,3.599,-0.1670780681552917,1,som,1.0,414,0,2,9,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0014,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0014.json,True,29.3,57,116.7235494880546,117.68754301445287,223.50019605280366,15.301999999999994,0.5222525597269623,13.758000000000004,11,6,2,3.240000000000002,-0.2462859960639031,2,som,1.0,356,0,3,3,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0015,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0015.json,True,21.3,38,107.04225352112675,108.26210826210827,243.48568987612134,9.363999999999999,0.43962441314553985,11.696000000000002,7,7,3,3.46,-0.22912812540669142,0,som,1.0,236,0,1,3,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0016,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0016.json,True,29.2,71,145.8904109589041,147.20110573600553,266.54986860217747,15.982,0.5473287671232877,12.958000000000002,10,6,2,1.879999999999999,-0.18183837388948976,3,som,1.0,432,0,5,4,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0017,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0017.json,True,28.5,52,109.47368421052632,110.71289166459671,197.4433615997973,15.802000000000016,0.5544561403508778,12.378999999999984,7,4,3,4.039999999999999,-0.2503414221065557,4,som,1.0,349,0,0,4,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0018,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0018.json,True,28.9,66,137.0242214532872,138.07049963390398,245.474832630796,16.131999999999998,0.5582006920415225,12.549000000000003,8,4,4,2.4800000000000004,-0.15784243802678627,1,som,1.0,437,0,3,3,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0019,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0019.json,True,28.1,53,113.16725978647686,114.30625449317037,251.86123871376515,12.626000000000005,0.44932384341637027,15.193999999999996,5,5,3,4.540000000000001,-0.19205942329641695,2,som,1.0,333,0,3,3,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0020,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0020.json,True,30.0,73,146.0,147.37550471063258,217.6721995825465,20.121999999999996,0.6707333333333332,9.598000000000004,6,2,1,2.4399999999999977,-0.13859163636014327,1,som,1.0,444,0,3,1,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0021,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0021.json,True,29.0,63,130.34482758620692,131.79456783236287,206.57995409334353,18.298000000000002,0.6309655172413794,10.383000000000001,9,3,2,2.878999999999998,-0.1644947670716831,1,som,1.0,398,3,1,3,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0022,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0022.json,True,29.4,55,112.24489795918367,113.71076117294373,196.41687994762202,16.801000000000013,0.571462585034014,12.219999999999988,7,5,3,2.8210000000000015,-0.1793585440314819,1,som,1.0,366,0,1,5,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0023,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0023.json,True,29.7,75,151.51515151515153,152.95197308045275,260.6429192006951,17.265,0.5813131313131313,12.155999999999999,7,3,2,3.039999999999999,-0.1480240252660353,2,som,1.0,439,0,2,4,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0024,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0024.json,True,23.9,60,150.62761506276152,152.14910612400152,214.45165902186207,16.787000000000006,0.702384937238494,6.873999999999994,6,2,1,1.62,-0.2246325705587537,2,som,1.0,392,0,4,8,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0025,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0025.json,True,21.4,50,140.18691588785046,142.59232853272496,221.90990457874108,13.518999999999997,0.6317289719626167,7.520000000000001,5,3,1,2.160000000000001,-0.21989431296522113,1,som,1.0,315,0,1,3,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0026,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0026.json,True,29.3,65,133.10580204778157,134.10818059901652,211.21039805036565,18.464999999999993,0.6302047781569963,10.616000000000007,6,2,1,4.02,-0.12992306015949828,0,som,1.0,404,0,4,3,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0027,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0027.json,True,28.8,68,141.66666666666666,142.9572529782761,208.82383048418467,19.538,0.6784027777777778,9.001999999999999,7,4,0,1.299999999999999,-0.16407107848550453,2,som,1.0,427,0,1,4,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0028,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0028.json,True,24.0,57,142.5,145.044319097502,222.3667100130038,15.380000000000008,0.6408333333333337,8.198999999999993,6,5,0,1.3200000000000003,-0.1990092644053531,1,som,1.0,371,0,4,3,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0029,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0029.json,True,26.9,59,131.59851301115242,132.67868520670137,271.8894009216592,13.019999999999989,0.4840148698884755,13.661000000000014,8,4,3,3.74,-0.28061531717057936,3,som,1.0,364,1,2,3,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0030,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0030.json,True,27.1,48,106.2730627306273,107.29853582206326,169.20274954468007,17.021,0.6280811808118081,9.82,6,4,2,2.539999999999999,-0.09738926961939888,0,som,1.0,329,2,2,2,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0031,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0031.json,True,29.1,68,140.2061855670103,142.85714285714286,200.9060468780777,20.307999999999993,0.6978694158075599,8.252000000000006,7,4,1,1.4809999999999999,-0.17373328180201605,0,som,1.0,456,6,1,6,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0032,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0032.json,True,25.9,71,164.4787644787645,165.88139091156887,253.52615604356393,16.802999999999983,0.6487644787644782,8.878000000000016,9,2,0,1.200000000000001,-0.18398492715459228,2,som,1.0,463,0,3,4,High,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0033,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0033.json,True,20.1,40,119.40298507462686,121.08980827447026,161.09544905356424,14.897999999999998,0.7411940298507461,4.922000000000001,4,2,1,1.5600000000000023,-0.18532268914674027,0,som,1.0,283,0,0,1,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0034,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0034.json,True,28.8,56,116.66666666666667,118.47255033320404,204.37956204379563,16.439999999999998,0.5708333333333332,11.921000000000003,10,4,1,2.5210000000000026,-0.12356018952790716,0,som,1.0,348,0,2,4,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0035,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0035.json,True,23.7,39,98.73417721518987,99.57446808510637,197.61844438814282,11.841000000000005,0.49962025316455716,11.658999999999995,8,5,3,2.2799999999999994,-0.1895011381508574,0,som,1.0,258,0,0,2,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0036,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0036.json,True,28.2,68,144.68085106382978,146.23655913978493,214.08332458809957,19.057999999999993,0.6758156028368791,8.842000000000006,4,4,3,1.7200000000000024,-0.2550253670693512,2,som,1.0,418,0,0,4,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0037,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0037.json,True,21.7,45,124.42396313364056,125.93283582089552,193.16068107025322,13.978000000000002,0.6441474654377881,7.461999999999999,5,3,1,2.4589999999999996,-0.20672689956500967,0,som,1.0,277,0,0,2,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0038,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0038.json,True,25.3,54,128.06324110671937,129.3929712460064,234.8847324923883,13.793999999999983,0.5452173913043471,11.246000000000016,8,3,3,2.9209999999999994,-0.13887966601146304,0,som,1.0,324,0,0,2,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0039,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0039.json,True,28.3,55,116.60777385159011,117.43354329027437,172.81105990783408,19.096000000000004,0.6747703180212016,9.004999999999997,8,3,2,2.0599999999999987,-0.20415006648509387,1,som,1.0,365,0,0,7,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0040,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0040.json,True,29.3,79,161.77474402730377,163.67403314917127,277.53381345512014,17.07900000000001,0.5829010238907854,11.88099999999999,9,4,1,2.8999999999999986,-0.21122796915137126,4,som,1.0,467,0,6,3,High,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0041,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0041.json,True,24.8,52,125.80645161290322,128.07881773399015,218.53330531624297,14.276999999999996,0.5756854838709675,10.083000000000004,8,3,3,2.119999999999999,-0.1934163358173216,0,som,1.0,362,1,4,2,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0042,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0042.json,True,26.7,57,128.08988764044943,129.2517006802721,201.43715396395336,16.977999999999998,0.635880149812734,9.482000000000005,9,4,1,1.58,-0.1969097513620891,0,som,1.0,409,0,4,3,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0043,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0043.json,True,25.5,56,131.76470588235296,133.0166270783848,199.5841995841996,16.834999999999997,0.6601960784313724,8.425000000000002,2,2,2,2.86,-0.14311439323705608,0,som,1.0,373,0,0,4,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0044,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0044.json,True,27.4,62,135.76642335766425,137.06200950591358,200.83139880148997,18.523000000000007,0.6760218978102193,8.617999999999991,4,3,2,1.9399999999999995,-0.11119465813998129,0,som,1.0,379,0,0,2,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0045,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0045.json,True,26.5,61,138.1132075471698,139.79603529276957,249.30181867720202,14.680999999999989,0.5539999999999996,11.500000000000012,10,6,1,1.4800000000000004,-0.16070424498209637,0,som,1.0,410,1,5,4,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0046,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0046.json,True,29.2,70,143.83561643835617,145.53014553014555,223.17870237525898,18.819000000000006,0.6444863013698633,10.040999999999997,7,5,1,1.7010000000000005,-0.18221149544167778,1,som,1.0,473,0,2,7,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0047,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0047.json,True,27.5,70,152.72727272727272,155.78635014836794,245.5853116594551,17.101999999999997,0.6218909090909089,9.858000000000006,7,3,1,2.4589999999999996,-0.19996510509008084,2,som,1.0,449,0,0,3,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0048,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0048.json,True,25.1,47,112.35059760956175,113.80145278450362,215.21788903304588,13.103,0.5220318725099601,11.677,5,5,3,4.099999999999998,-0.1883170948094225,1,som,1.0,318,1,2,4,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0049,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0049.json,True,21.9,45,123.28767123287673,124.88436632747457,195.65217391304353,13.799999999999997,0.6301369863013698,7.820000000000003,6,3,2,2.0390000000000015,-0.17779162497706488,1,som,1.0,310,3,2,3,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0050,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0050.json,True,41.4,100,144.92753623188406,146.62398279611935,211.1783753343658,28.411999999999995,0.6862801932367149,12.509000000000002,10,2,1,3.139999999999999,-0.14838627336137838,1,som,1.0,657,0,0,6,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0051,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0051.json,True,27.8,62,133.81294964028777,135.27272727272725,243.01019074993457,15.308000000000007,0.5506474820143887,12.191999999999993,7,4,2,3.34,-0.14406876429525492,1,som,1.0,390,0,4,4,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0052,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0052.json,True,25.6,55,128.90625,129.81393336218088,221.2834439750555,14.912999999999988,0.5825390624999995,10.508000000000012,6,3,2,3.6000000000000014,-0.2768727900975272,3,som,1.0,344,1,0,3,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0053,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0053.json,True,20.6,40,116.50485436893203,118.11023622047244,221.99611506798644,10.810999999999995,0.5248058252427181,9.509000000000006,7,3,2,3.8000000000000007,-0.184758130637537,0,som,1.0,286,0,5,2,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0054,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0054.json,True,28.3,51,108.12720848056537,108.97435897435898,197.4703149199795,15.49599999999999,0.54756183745583,12.584000000000012,9,4,3,3.3610000000000007,-0.20889117408888447,1,som,1.0,346,0,2,2,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0055,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0055.json,True,28.7,87,181.8815331010453,183.8092890594739,257.9561178098438,20.236,0.7050871080139374,8.162999999999998,5,2,0,1.1799999999999997,-0.18398272747332023,2,som,1.0,507,0,2,8,High,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0056,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0056.json,True,29.7,74,149.4949494949495,152.15379870463659,222.12216719195573,19.988999999999987,0.6730303030303026,9.192000000000013,4,4,3,1.8000000000000007,-0.22659941594499028,1,som,1.0,446,1,1,2,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0057,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0057.json,True,29.8,71,142.95302013422818,143.82174206617148,218.20416944117207,19.52299999999999,0.6551342281879191,10.097000000000012,11,3,1,1.6389999999999993,-0.21821799929682326,0,som,1.0,449,1,1,2,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0058,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0058.json,True,29.3,62,126.96245733788396,128.36881879982056,247.63679936093754,15.021999999999986,0.5126962457337879,13.957000000000015,7,6,4,2.761,-0.17867144538374347,2,som,1.0,422,0,2,5,Medium,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0059,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0059.json,True,31.1,84,162.0578778135048,163.31291921843103,223.04832713754638,22.596000000000007,0.7265594855305468,8.264999999999995,6,1,1,1.4009999999999998,-0.2017660672751722,3,som,1.0,497,0,9,2,High,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0060,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0060.json,True,28.4,52,109.85915492957747,110.71682044002839,204.17511942935673,15.281,0.5380633802816902,12.899000000000001,7,4,4,4.280000000000001,-0.28467108110949807,1,som,1.0,358,0,1,4,Low,False
01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc,0061,01 Fandhaal Buugga Ka buuxo Marnaan ممتلئ بالفراغ s1ejdoo8nqc/transcripts/0061.json,True,29.6,68,137.83783783783784,139.34426229508196,257.8361981799799,15.823999999999993,0.5345945945945944,13.456000000000008,8,6,1,4.32,-0.1733984178207845,1,som,1.0,442,0,4,2,Medium,False
